date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:24:34	162/162	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2004%20Jun%202025%2005:54:38%20GMT	http://okrepisa.org/Pres-LRK10000-Cash-Gifts.html	C:/My%20Web%20Sites/1st/okrepisa.org/Pres-LRK10000-Cash-Gifts.0.delayed	(from )
11:24:35	29438/29438	---M-Z	200	added ('OK')	text/html	etag:W/%22683eac29-72fe%22	https://okrepisa.org/Pres-LRK10000-Cash-Gifts.html	C:/My%20Web%20Sites/1st/okrepisa.org/Pres-LRK10000-Cash-Gifts.html	(from )
11:24:36	5254/5254	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%2264d39a40-24a3%22	https://okrepisa.org/robots.txt		(from )
11:24:36	9379/9379	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%2264d39a40-24a3%22	https://okrepisa.org/alladz.js	C:/My%20Web%20Sites/1st/okrepisa.org/alladz.js	(from https://okrepisa.org/Pres-LRK10000-Cash-Gifts.html)
11:24:37	31000/31000	---MCZ	200	added ('OK')	text/css	etag:W/%22269550530cc127b6aa5a35925a7de6ce%22	https://maxcdn.bootstrapcdn.com/font-awesome/4.7.0/css/font-awesome.min.css	C:/My%20Web%20Sites/1st/maxcdn.bootstrapcdn.com/font-awesome/4.7.0/css/font-awesome.min.css	(from https://okrepisa.org/Pres-LRK10000-Cash-Gifts.html)
11:24:38	65107/65107	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03ed1-fe53%22	https://cdnjs.cloudflare.com/ajax/libs/limonte-sweetalert2/8.11.8/sweetalert2.all.min.js	C:/My%20Web%20Sites/1st/cdnjs.cloudflare.com/ajax/libs/limonte-sweetalert2/8.11.8/sweetalert2.all.min.js	(from https://okrepisa.org/Pres-LRK10000-Cash-Gifts.html)
11:24:38	33/33	---MCZ	200	added ('OK')	text/css	etag:W/%224165f7316a59fe16fefe55c4e7e24819%22	https://olului.pages.dev/css/app.css?id=2fbe2d9a9a40ca9b2489	C:/My%20Web%20Sites/1st/olului.pages.dev/css/app2042.css	(from https://okrepisa.org/Pres-LRK10000-Cash-Gifts.html)
11:24:40	3527/3527	---M--	200	added ('OK')	image/jpeg	etag:%22v1717%22	https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEhJx9ckO1zZPwnm1dsTiJmlfD434R7gOQJBZckBPB1_t1kt85s0EtIEjJ8ZiPifrtTTjWHLXvrBep1fFAvJ9inPR2fRL9AG0aVMZURhdbpGZqV0PiNwn6E_E2foC0ffIlq4oTfRNxE0LAZNa4H8ZjDdZikM9pr2Y4KcI7c5Z-RwH6NpKn90ay0V6PywP08c/w640-h98/IMG_3817.jpeg	C:/My%20Web%20Sites/1st/blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEhJx9ckO1zZPwnm1dsTiJmlfD434R7gOQJBZckBPB1/w640-h98/IMG_3817.jpeg	(from https://okrepisa.org/Pres-LRK10000-Cash-Gifts.html)
11:24:41	48099/48099	---M--	200	added ('OK')	image/jpeg	date:Fri,%2023%20May%202025%2012:50:24%20GMT	https://media.istockphoto.com/id/508040080/photo/sri-lankan-rupee-bills-isolated-on-white-background.jpg?s=612x612&w=0&k=20&c=9xp_lTMte9aSzt9Z5ttkJxNqvOg5Jc4bZpkTzUhe3dA=	C:/My%20Web%20Sites/1st/media.istockphoto.com/id/508040080/photo/istockphoto-508040080-612x6120ba6.jpg	(from https://okrepisa.org/Pres-LRK10000-Cash-Gifts.html)
11:24:43	1502/1502	---M--	200	added ('OK')	image/png	etag:%221feaeac0e76f9f4e62ef2d41cda680f4%22	https://olului.pages.dev/img/landers/survey-pick-a-box/checked.png	C:/My%20Web%20Sites/1st/olului.pages.dev/img/landers/survey-pick-a-box/checked.png	(from https://okrepisa.org/Pres-LRK10000-Cash-Gifts.html)
